mode	trial	target	size_bytes	elapsed_s	ok	exc
cold-warm-process	0	Uganda/2013-14/Data/gsec12.dta	-1	3.949	0	LockError
cold-warm-process	0	Uganda/2013-14/Data/GSEC8_1.dta	-1	3.034	0	LockError
cold-warm-process	0	Uganda/2013-14/Data/GSEC11A.dta	-1	3.459	0	LockError
cold-warm-process	0	Uganda/2013-14/Data/GSEC10_1.dta	-1	4.023	0	LockError
cold-warm-process	0	Uganda/2015-16/Data/gsec12_1.dta	-1	3.569	0	LockError
cold-warm-process	0	Uganda/2015-16/Data/gsec10_1.dta	-1	3.394	0	LockError
cold-warm-process	0	Uganda/2015-16/Data/gsec11_1.dta	-1	3.748	0	LockError
cold-warm-process	0	Uganda/2015-16/Data/AGSEC8A.dta	-1	4.375	0	LockError
cold-warm-process	0	Uganda/2019-20/Data/HH/gsec12_1.dta	122339	4.892	0	LockError
cold-warm-process	0	Uganda/2019-20/Data/HH/gsec8.dta	2719891	3.509	0	LockError
cold-warm-process	0	Uganda/2019-20/Data/HH/gsec10_1.dta	319202	4.049	0	LockError
cold-warm-process	0	Uganda/2009-10/Data/GSEC12.dta	-1	4.268	0	LockError
